"","GST","DBH","AOT","AFS","DWC","LOG","x_gk","y_gk","SG4","SG5"
"1",241.5,30.1667,67,67,5.9735,2.2433,4395150,5523911,0,1
"2",167.6,23.1667,67,67,0,7.7698,4395151,5524011,1,2
"3",179.7,33.8333,49,49,10.8171,0,4395351,5524010,0,1
"4",106,34.5,67,67,3.124,14.4399,4395151,5524111,0,1
"5",206.3,39.8333,67,67,1.8966,14.5909,4395351,5524110,0,1
"6",123.8,30.5,67,67,0,9.4516,4395152,5524211,0,1
"7",364.5,49.1667,67,67,9.8545,5.0054,4395352,5524210,0,0
"8",234.7,27.5,67,67,11.4333,0.7497,4395152,5524311,0,3
"9",366.6,64.1667,201,67,0,13.081,4395352,5524310,0,4
"10",124.8,35.5,81,81,1.485,20.6585,4394953,5524412,0,4
"11",117.1,0,67,67,0.4906,4.7021,4395153,5524411,0,6
"12",132.5,39.1667,67,67,0,11.419,4395353,5524410,0,0
"13",386.5,32.1667,81,81,59.0057,19.3083,4394953,5524512,0,4
"14",276.7,49.1667,201,81,87.0971,4.2916,4395353,5524510,0,3
"15",108.2,31.1667,81,81,13.2369,13.9728,4394754,5524614,0,3
"16",121.3,81.5,201,81,0,19.6976,4394954,5524612,0,1
"17",152.2,33.1667,81,81,38.0544,5.6016,4394554,5524715,0,2
"18",268,33.5,70,70,51.3584,4.9691,4394754,5524714,0,3
"19",74.4,21.5,70,70,1.4176,11.0366,4394955,5524712,0,2
"20",100,24,69,69,34.6106,32.1864,4394555,5524815,0,3
"21",429.8,54.5,199,69,28.9509,1.9309,4394755,5524814,0,1
"22",141.9,25.1667,69,69,127.1187,15.5018,4394556,5524915,0,2
"23",311.8,35.8333,67,67,2.8276,11.5687,4393356,5525022,0,0
"24",139.5,38.5,67,67,36.0013,10.8666,4393356,5525122,0,0
"25",304.9,37.5,50,50,9.1136,7.9177,4393357,5525222,0,0
"26",73.1,31,95,95,17.0819,4.8267,4395072,5533217,1,2
"27",322,41.5,95,95,0,6.0815,4395073,5533317,0,1
"28",224.1,44.8333,95,95,4.1269,3.6664,4395273,5533316,0,1
"29",278.8,42.1667,95,95,5.9853,1.9587,4395073,5533417,0,2
"30",260.2,45.5,80,80,0,14.9603,4397275,5533605,0,4
"31",173,32.5,70,70,1.8004,13.0092,4397075,5533706,0,1
"32",237.6,43.8333,80,80,6.4223,11.1252,4397275,5533705,0,3
"33",366.6,32.5,70,70,5.1647,6.0753,4397076,5533806,0,2
"34",196.2,31.5,80,80,2.449,11.811,4397276,5533805,0,1
"35",225.1,46.8333,70,70,3.2923,6.1081,4396676,5533908,0,1
"36",257.3,46.8333,70,70,3.4109,14.2013,4396876,5533907,0,1
"37",357.6,47.8333,70,70,10.2183,4.8578,4397076,5533906,0,0
"38",158,31.1667,70,70,0.9206,17.1249,4397276,5533905,0,0
"39",164,33.1667,64,64,11.6682,5.9804,4397477,5533904,0,0
"40",335.2,41.5,70,70,0.2036,19.2033,4396677,5534008,0,0
"41",284.4,39.1667,70,70,8.8043,15.8061,4396877,5534007,0,1
"42",230.4,40.8333,70,70,0,5.1908,4397077,5534006,0,1
"43",69.6,29.5,70,70,10.6591,15.0195,4397277,5534005,0,3
"44",155.1,41.8333,64,64,9.8261,9.8149,4397477,5534004,0,1
"45",182.1,39.1667,101,101,40.6015,20.6029,4395477,5534115,0,4
"46",389.2,34.8333,70,70,0.8834,30.4779,4396678,5534108,0,0
"47",166.1,37.1667,99,99,11.5148,16.1124,4395478,5534215,0,1
"48",154.5,35.8333,99,99,6.0619,8.6411,4395479,5534315,0,1
"49",209.2,40.1667,99,99,8.5424,5.9938,4395679,5534414,0,1
"50",195.4,37.1667,99,99,0.7761,13.9344,4395680,5534514,0,3
"51",385.4,52.8333,137,137,7.2745,7.5178,4394320,5518616,0,4
"52",453,49.1667,137,137,26.5054,5.7595,4394120,5518717,0,3
"53",340.4,52.8333,137,137,0.3079,41.1187,4394320,5518716,0,1
"54",508.5,50.5,137,137,40.6555,8.5027,4393921,5518818,0,4
"55",420,54.8333,137,137,0,7.3993,4394121,5518817,0,8
"56",149.1,43.8333,137,137,0,37.5899,4394321,5518816,0,8
"57",361.8,58.1667,137,137,9.567,13.2237,4393721,5518919,0,1
"58",284.1,43.8333,137,137,10.9683,4.4659,4393921,5518918,0,4
"59",482.8,64.8333,137,137,0.0831,4.5835,4394121,5518917,0,6
"60",338.4,49.1667,137,137,2.1865,23.4182,4393922,5519018,0,2
"61",237.2,48.8333,149,149,0,13.1072,4394122,5519017,1,3
"62",226.8,46.1667,152,152,4.5349,9.7533,4393923,5519118,0,0
"63",351.7,48.1667,142,142,0.2974,1.573,4394123,5519117,2,5
"64",295.2,52.8333,142,142,0,5.7689,4393923,5519218,0,4
"65",372.7,55.1667,142,142,0,14.9029,4393924,5519318,0,5
"66",400.1,51.8333,134,134,3.4801,20.3229,4391927,5520030,1,4
"67",512.4,59.1667,134,134,3.7646,21.8491,4391928,5520130,0,4
"68",246.3,48.5,134,134,0.8042,5.6776,4392128,5520129,0,4
"69",279.3,50.5,134,134,7.2045,16.4898,4392128,5520229,0,1
"70",517.7,59.8333,134,134,0.7603,29.1214,4392328,5520227,0,5
"71",278.4,50.5,134,134,0,9.7564,4392329,5520327,0,1
"72",413.4,53.1667,136,136,0,29.0727,4389364,5526645,0,1
"73",390.8,61.5,136,136,0,13.1874,4389564,5526644,0,3
"74",258.5,51.5,136,136,0,66.3463,4389365,5526745,0,1
"75",143.8,44.5,136,136,0,52.6109,4389365,5526845,0,2
"76",365.9,57.5,137,137,2.4147,15.0932,4396864,5531807,0,3
"77",313.6,46.5,137,137,6.5468,2.7077,4397064,5531806,0,5
"78",320.8,58.5,137,137,0,12.3538,4396665,5531908,0,4
"79",281.6,59.8333,137,137,1.3371,7.1724,4396865,5531907,0,4
"80",250.7,41.5,137,137,0.1816,14.9684,4397065,5531906,0,3
"81",605.6,57.8333,138,138,0,4.8692,4397866,5532001,0,0
"82",376.8,50.8333,138,138,0,23.7755,4398066,5532000,0,2
"83",321.4,49.8333,138,138,0.3364,7.8921,4398266,5531999,0,1
"84",262.3,53.5,138,138,0,9.7241,4397666,5532103,0,2
"85",196.3,44.5,138,138,0,12.4645,4397866,5532101,0,0
"86",300,46.5,138,138,0,65.281,4398066,5532100,0,1
"87",388.5,50.5,138,138,2.2707,9.0699,4398266,5532099,0,4
"88",235.1,50.5,138,138,0,5.774,4397667,5532203,0,2
"89",199,46.8333,138,138,2.1803,25.3782,4397867,5532201,0,3
"90",361.5,55.8333,138,138,0,46.1984,4397467,5532304,0,5
"91",311.4,47.8333,138,138,7.3623,39.4906,4397667,5532303,2,7
"92",271.4,39.8333,103,103,24.7656,8.7244,4398674,5533397,0,3
"93",187,46.5,103,103,34.8204,22.6112,4398874,5533396,0,5
"94",395.5,42.1667,103,103,17.7608,8.7462,4398674,5533497,0,3
"95",420.7,52.8333,103,103,16.3432,22.6772,4398874,5533496,0,4
"96",309.2,54.8333,103,103,23.8574,50.3073,4398675,5533597,0,4
"97",408.9,47.8333,103,103,0,7.2306,4398875,5533596,0,6
"98",322.3,49.1667,103,103,16.2446,26.2408,4398675,5533697,0,7
"99",320.4,46.8333,103,103,29.9105,16.5275,4398876,5533696,1,6
"100",287.1,50.8333,103,103,10.0928,11.2872,4398876,5533796,0,1
"101",206.8,44.1667,163,163,0,31.1601,4395752,5524208,0,2
"102",234,48.8333,163,163,0,17.0765,4395952,5524207,0,0
"103",210.2,49.8333,163,163,0,35.1891,4395752,5524308,0,4
"104",316.8,51.8333,163,163,0,10.1021,4395952,5524307,1,2
"105",265.9,42.5,172,172,8.6922,12.3915,4393753,5524419,0,2
"106",450.1,53.5,163,163,1.0477,8.6276,4395753,5524408,0,3
"107",249,46.5,163,163,0,33.8382,4395953,5524407,2,4
"108",249.7,46.5,172,172,11.6715,16.0095,4393753,5524519,0,6
"109",256.7,49.1667,163,163,0,18.1819,4395553,5524509,0,3
"110",354,51.5,172,172,19.7584,5.0298,4393754,5524619,0,2
"111",373.8,52.8333,172,172,8.5593,13.8854,4393754,5524719,0,0
"112",296.6,51.5,172,172,0.1816,9.1591,4393755,5524819,0,0
"113",305.8,53.8333,172,172,5.6611,6.5136,4393755,5524919,0,0
"114",198.7,43.1667,172,172,4.3346,29.7722,4393756,5525019,0,3
"115",124.1,45.8333,171,171,0,45.1627,4394556,5525015,0,3
"116",56,38,171,171,0,68.8299,4394756,5525014,0,5
"117",231.5,49.5,171,171,0,18.2691,4394557,5525115,0,2
"118",313.8,59.5,148,148,0,23.6329,4389565,5526744,0,0
"119",186.3,49.5,148,148,0,23.3275,4389765,5526743,0,2
"120",428.6,56.1667,148,148,0,44.9937,4389565,5526844,0,0
"121",557.7,58.1667,148,148,0,24.6264,4389765,5526843,0,1
"122",319.1,44.8333,148,148,0,14.5477,4389566,5526944,0,0
"123",279,54.8333,148,148,0,13.1757,4389766,5526943,0,2
"124",570.8,60.8333,148,148,0,40.533,4389567,5527044,0,2
"125",426.9,59.5,150,150,0,5.4903,4389767,5527043,0,2
"126",264.3,45.5,149,149,1.2917,13.8513,4397662,5531303,0,3
"127",341.4,55.8333,149,149,0.8583,25.3641,4397462,5531404,0,2
"128",497.9,50.8333,149,149,38.1673,5.6048,4397662,5531403,0,0
"129",475.2,59.5,149,149,13.1385,24.6524,4397463,5531504,0,4
"130",512.7,63.5,250,149,16.0205,17.5319,4397663,5531503,0,4
"131",268.7,55.1667,149,149,3.3406,17.2911,4397863,5531501,0,2
"132",148.4,42.1667,144,144,0,35.0587,4397466,5532004,0,2
"133",305.4,48.5,144,144,0,15.3072,4397666,5532003,0,1
"134",90.6,47.5,144,144,0,28.5702,4397466,5532104,0,2
"135",183.6,46.1667,144,144,0,29.6983,4397467,5532204,0,2
"136",424.7,54.1667,144,144,0,12.0954,4397267,5532305,0,2
"137",316.4,57.8333,144,144,0,23.0107,4397268,5532405,0,4
"138",263.8,42.8333,166,166,0,6.1732,4400673,5533186,0,0
"139",288,53.5,166,166,24.7663,28.8721,4400273,5533288,0,7
"140",71.6,40.5,166,166,0.4502,30.5708,4400473,5533287,0,1
"141",90.9,39.5,166,166,0,6.1732,4400673,5533286,0,0
"142",187.9,43.5,166,166,0.454,8.0144,4400873,5533285,0,2
"143",283.4,54.5,166,166,0,23.7054,4400274,5533388,0,3
"144",190.4,47.8333,166,166,0,8.2918,4400474,5533387,0,1
"145",266,52.8333,166,166,0,4.6538,4400674,5533386,0,2
"146",271.4,55.5,148,148,0.6637,15.1326,4397474,5533504,0,1
"147",305.8,62.1667,148,148,0,23.5548,4397674,5533503,0,3
"148",203.8,47.8333,166,166,0,31.9419,4400074,5533489,0,3
"149",143.3,44.8333,166,166,0,21.4673,4400275,5533488,0,1
"150",297.3,54.8333,148,148,0,15.4234,4397675,5533603,0,6
"151",43,46.5,172,172,0,6.998,4395748,5523508,0,5
"152",79.6,63.5,172,172,0.3324,4.8095,4395748,5523608,0,4
"153",147.6,46.5,172,172,0,1.1771,4395948,5523607,0,1
"154",121,50.5,172,172,0.347,15.1897,4395950,5523907,1,5
"155",107.5,40.5,172,172,0,3.7266,4395951,5524007,1,6
"156",94.8,68.5,166,166,0.5284,18.7918,4395754,5524508,1,3
"157",0,0,166,166,1.2297,25.47,4395954,5524507,5,3
"158",46.3,31,166,166,6.3825,15.5851,4395754,5524608,1,5
"159",203,55.5,166,166,1.7261,19.4521,4395954,5524607,3,2
"160",157.3,50.8333,172,172,0,8.4753,4395357,5525210,0,4
"161",53.1,56.5,174,174,0,2.9854,4395158,5525311,0,3
"162",469.9,62.5,174,174,0,8.0297,4395358,5525310,0,4
"163",274.8,54.1667,174,174,0,5.0644,4394958,5525412,0,2
"164",170.6,51.1667,174,174,0,2.049,4395159,5525411,0,1
"165",349.7,57.8333,174,174,0.0664,3.7779,4395359,5525410,0,5
"166",0,0,174,174,0.1608,16.8878,4394959,5525512,0,4
"167",46.4,48.5,174,174,0,5.3814,4395159,5525511,0,6
"168",389.2,58.5,172,172,0,2.0043,4389763,5526443,0,1
"169",226,62,172,172,0,39.0119,4389963,5526442,0,1
"170",254.6,51.5,172,172,0,22.1417,4389764,5526543,0,0
"171",334.4,61.5,172,172,0,2.5866,4389964,5526542,0,3
"172",341.7,61.5,172,172,0,6.8,4390164,5526540,0,8
"173",315.1,60.1667,172,172,0,24.3937,4389764,5526643,0,4
"174",286.1,58.8333,172,172,0,5.0536,4389964,5526642,0,1
"175",20.7,0,27,27,0,5.4361,4389965,5526742,0,3
"176",278.4,48.8333,157,157,0,54.405,4398061,5531100,0,1
"177",276.4,52.1667,157,157,0,14.599,4397861,5531201,0,1
"178",308.8,60.1667,157,157,0,9.9463,4398061,5531200,0,4
"179",162.6,47.5,137,137,0,5.7986,4397062,5531306,1,4
"180",353.6,59.1667,157,157,0,54.6825,4397862,5531301,0,0
"181",227.5,56.1667,157,157,0,45.8161,4398062,5531300,0,2
"182",0,0,157,157,0,4.7138,4397062,5531406,2,5
"183",0,0,157,157,0,3.0154,4397063,5531506,0,8
"184",0,0,157,157,0,11.6969,4397063,5531606,1,7
"185",225.1,46.5,137,137,0,8.2563,4397064,5531706,0,4
"186",30.4,38.5,170,170,0.2036,7.2899,4400872,5532985,2,3
"187",70.3,57.5,170,170,0.215,3.5256,4401072,5532983,3,3
"188",54,54.5,170,170,0.0398,4.6887,4400872,5533085,3,2
"189",0,0,170,170,0,5.6152,4401072,5533083,2,1
"190",254,57.8333,170,170,0.5801,3.936,4401272,5533082,2,1
"191",402,63.8333,150,150,0,31.6252,4397473,5533304,1,6
"192",112.7,59.5,150,150,0,8.343,4397673,5533303,0,4
"193",96.6,45.5,150,150,0,8.4152,4397873,5533302,0,1
"194",227.5,52.5,150,150,0,10.9737,4397674,5533403,0,5
"195",116.4,70.5,150,150,0,7.9401,4397874,5533402,0,7
"196",204.3,65,153,153,0,4.9145,4396076,5533812,0,4
"197",384.9,69.5,153,153,0,4.8885,4396276,5533811,0,5
"198",325.2,64.1667,153,153,0,10.9087,4396476,5533809,0,5
"199",243,55.5,153,153,0,15.1227,4396676,5533808,0,3
"200",350.6,67.8333,153,153,0,2.1314,4396876,5533807,0,8
"201",228.6,59.1667,206,206,0,16.6668,4394140,5522217,2,3
"202",131,44.8,206,206,0,50.0939,4394340,5522216,0,0
"203",131.9,44.8333,230,230,7.2943,11.6174,4392540,5522326,0,4
"204",263.9,60.5,206,206,0,36.1142,4394141,5522317,2,3
"205",214.4,68.5,197,197,9.4874,40.5447,4394341,5522316,0,6
"206",649.1,72.5,230,230,6.4878,3.1533,4392541,5522426,0,4
"207",275.7,63,116,230,5.0019,4.4674,4392542,5522526,0,6
"208",142.2,48.8333,187,187,0,9.0824,4394942,5522512,0,3
"209",264.8,63.5,187,187,0,2.6397,4394943,5522612,0,2
"210",251,61.8333,187,187,0,3.3231,4395143,5522611,0,2
"211",518.8,70.8333,187,187,0,7.0065,4395343,5522610,0,3
"212",166.2,60.5,187,187,0,8.6048,4394943,5522712,0,3
"213",204.9,54.1667,190,190,0,19.8674,4393152,5524423,3,4
"214",321.8,64.5,190,190,0,19.5369,4393153,5524523,1,1
"215",450.2,70.8333,190,190,0,3.1681,4393353,5524522,0,5
"216",111.2,68.5,190,190,2.851,13.4116,4393154,5524623,0,5
"217",324,65.1667,190,190,0,3.9306,4393354,5524622,1,3
"218",68.3,56.5,190,190,1.145,12.8471,4393354,5524722,0,2
"219",275.9,56.1667,206,206,0.0905,1.6575,4393757,5525219,0,3
"220",120,43.8333,182,182,0,20.1726,4389563,5526344,0,2
"221",160.4,54.5,182,182,0,45.1767,4389763,5526343,0,1
"222",214,54.1667,182,182,0,106.5612,4389563,5526444,0,3
"223",81,59.5,201,201,0,9.4687,4389770,5527643,0,2
"224",129.7,57,201,201,0,10.7734,4389771,5527743,1,3
"225",265,66.1667,201,201,0,1.1831,4389771,5527843,0,3
"226",45.3,49.5,170,170,0,1.6531,4397471,5532904,0,3
"227",528,66.5,170,170,0,0.1711,4397471,5533004,0,0
"228",528.2,66.5,181,181,0,1.4765,4397272,5533105,0,3
"229",797,63.1667,181,181,0,8.6935,4397472,5533104,0,0
"230",791,71.5,181,181,0,6.0195,4397672,5533103,0,9
"231",791.5,72.1667,181,181,0,2.1576,4397272,5533205,0,2
"232",359.5,53.8333,180,180,0,6.9537,4396873,5533307,2,4
"233",204.5,54.5,180,180,0,3.0826,4396874,5533407,0,4
"234",317.8,56.7,200,200,0,0.8338,4389862,5526142,0,4
"235",465.7,87.7,200,200,0,34.7892,4389962,5526142,0,1
"236",523,70.7,300,200,0,32.4309,4389862,5526242,0,1
"237",353.1,64.7,300,200,0,87.3882,4389962,5526242,0,0
"238",403.4,51.7,200,300,1.6597,24.0716,4390062,5526241,0,2
"239",699.6,75.7,300,200,0,195.9606,4389863,5526342,0,0
"240",318,70.7,300,200,0,143.0884,4389963,5526342,0,0
"241",732.5,84.3,300,200,0,54.8839,4390063,5526341,0,0
"242",500,55.3,100,100,0,27.9354,4390163,5526340,0,2
"243",528.3,73.3,200,200,0,53.9584,4390163,5526440,0,5
"244",655,67.7,200,200,0,53.8041,4392060,5525829,0,2
"245",626,76.7,300,200,0,293.5203,4392061,5525929,0,1
"246",690.7,79.7,200,200,3.5538,42.3015,4392161,5525929,0,1
"247",674.7,65,300,200,0,20.691,4392261,5525928,0,1
"248",853.7,76,300,200,0,1.646,4391961,5526030,0,0
"249",854.2,79,300,200,0,71.9911,4392061,5526029,0,1
"250",342.6,56.7,300,200,0,15.7471,4392161,5526029,0,0
"251",342.6,56.7,300,200,0,75.4511,4392261,5526028,0,1
"252",513.16,74,200,200,11.4694,1.938,4392162,5526129,0,2
"253",826.7,82,300,200,0,6.297,4392262,5526128,0,0
"254",733.7,86.3,350,200,0,65.6922,4392961,5531229,0,1
"255",431.1,88.3,350,200,0,77.2274,4392861,5531230,0,2
"256",586.7,82,350,200,0,90.0327,4392961,5531329,0,2
"257",431.1,78.3,350,200,0,185.3084,4392861,5531330,0,1
"258",250.2,60,350,200,0,207.6531,4392862,5531430,0,2
